fid,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2
"1","4300851",Arambaré,RS,518.193
"2","4301909",Barra do Ribeiro,RS,729.316
"3","4303509",Camaquã,RS,1680.168
"4","4304671",Capivari do Sul,RS,412.889
"5","4306767",Eldorado do Sul,RS,509.614
"6","4309308",Guaíba,RS,376.166
"7","4312500",Mostardas,RS,1977.442
"8","4313656",Palmares do Sul,RS,949.201
"9","4314407",Pelotas,RS,1608.78
"10","4314902",Porto Alegre,RS,495.39
"11","4315602",Rio Grande,RS,2682.867
"12","4318507",São José do Norte,RS,1071.824
"13","4318804",São Lourenço do Sul,RS,2036.125
"14","4321105",Tapes,RS,805.452
"15","4321352",Tavares,RS,610.106
"16","4322327",Turuçu,RS,253.635
"17","4323002",Viamão,RS,1496.506
